REAL,miRNA,premiRNA,rRNA,snRNA,snoRNA,tRNA,tmRNA,All
miRNA,121,53,1,2,18,16,0,211
premiRNA,47,132,0,2,7,15,0,203
rRNA,5,3,531,0,6,2,2,549
snRNA,6,1,1,55,24,1,3,91
snoRNA,21,4,9,9,89,5,6,143
tRNA,1,5,0,1,1,348,0,356
tmRNA,1,0,5,5,1,5,263,280
All,202,198,547,74,146,392,274,1833
