REAL,miRNA,premiRNA,rRNA,snRNA,snoRNA,tRNA,tmRNA,All
miRNA,122,60,2,2,19,6,0,211
premiRNA,52,131,2,3,8,6,1,203
rRNA,2,3,540,0,3,0,1,549
snRNA,2,1,2,61,22,2,1,91
snoRNA,18,8,7,8,92,3,7,143
tRNA,0,2,0,1,1,352,0,356
tmRNA,0,0,2,1,1,3,273,280
All,196,205,555,76,146,372,283,1833
