REAL,miRNA,premiRNA,rRNA,snRNA,snoRNA,tRNA,tmRNA,All
miRNA,116,64,2,3,18,8,0,211
premiRNA,64,124,0,2,7,6,0,203
rRNA,1,4,539,0,2,0,3,549
snRNA,3,1,1,61,21,2,2,91
snoRNA,14,11,7,5,95,3,8,143
tRNA,0,1,0,0,2,353,0,356
tmRNA,0,1,2,2,2,3,270,280
All,198,206,551,73,147,375,283,1833
