iter	Passed	Remaining
403	12253	2911
404	12266	2877
405	12295	2846
406	12308	2812
407	12334	2781
408	12342	2746
409	12348	2710
410	12354	2675
411	12360	2640
412	12366	2605
413	12387	2573
414	12391	2538
415	12403	2504
416	12408	2469
417	12416	2435
418	12422	2401
419	12426	2367
420	12431422	12421	12448423	12096	2168
424	12103	2135
425	12424	12477	2201
425	12482427	12150	2043
428	12155	2011
429	12161	1979
430	12171	1948
431	12178	1916
432	12206	1888
433	12230	1859
434	12243	1829
435	12259	1799
436	12274	1769
437	12284	1738
438	12302	1709
439	12307	1678
440	12312	1647
441	12316	1616
442	12321	1585
443	12329	1555
444	12338	1524
445	12343	1494
446	12350	1464
447	12356	1434
448	12361	1404
449	12367	1374
450	12378	1344
451	12390	1315
452	12395	1286
453	12408	1257
454	12428	1229
455	12442	1200
456	12459	1172
457	12466	1143
458	12477	1114
459	12488	1085
460	12502	1057
461	12512	1029
462	12517	1000
463	12524	971
464	12534	943
465	12547	915
466	12558	887
467	12571	859
468	12580	831
469	12591	803
470	12601	775
471	12610	748
472	12630	720
473	12635	693
474	12644	665
475	12648	637
476	12653	610
477	12657	582
478	12661	555
479	12665	527
480	12669	500
481	12673	473
482	12678	446
483	12683	419
484	12687	392
485	12691	365
486	12695	338
487	12699	312
488	12703	285
489	12740	260
490	12746	233
491	12751	207
492	12754	181
493	12758	154
494	12764	128
495	12769	102
496	12773	77
497	12811	51
498	12815	25
499	12845	0
12957	25
499	12961	0
