iter	Logloss
0	0.6840352145
1	0.6736875592
2	0.65837259
3	3	0.6526737791
4	0.6410976179
5	0.6318817139
6	0.6204834562
7	0.6091227676
8	0.5984473373
9	0.5895086921010	0.5810625481
11	0.5728567297
12	0.5657021494
13	0.5587568572
14	0.5499379129
15	0.54091783
16	0.5345448003
17	0.5265764757
18	0.5183985161
19	0.5114613157
20	0.5046353196
21	0.4981850133
22	0.4932753823
23	0.4871744676
24	0.4813174623
25	0.4757202611
26	0.4704242475
27	0.4662950111
28	0.4615186633
29	0.4558779399
30	0.4502567522
31	0.4459694082
32	0.4398377447
33	0.4355188428
34	0.4305560372
35	0.4241474614
36	0.4196889473
37	0.4160842896
38	0.4133065542
39	0.4091288249
40	0.4057728738
41	0.4014529315
42	0.3978743	0.343	0.3940944	0.344	0.3908745	0.3846252904
46	0.3810448502
47	0.3756909226
48	0.3730925647
49	0.3707562649
50	0.3671892629
51	0.3638106259
52	0.3604126266
53	0.356994022
54	0.3533453219
55	0.3500452042
56	0.3476704973
57	0.3447016514
58	0.3420059898
59	0.3395397013
60	0.3376301274
61	0.3352237181
62	0.3319947503
63	0.3299199885
64	0.3266254194
65	0.3243312258
66	0.3210395177
67	0.3183936784
68	0.3157404697
69	0.313726772
70	0.3113361705
71	0.3094806093
72	0.3071860111
73	0.3045886069
74	0.3025504604
75	0.2999715516
76	0.2982728265
77	0.2968507825
78	0.294946815
79	0.292799285
80	0.290681839
81	0.288468621
82	0.2864668875
83	0.2850956772
84	0.2832938686
85	0.281452179
86	0.2797972939
87	0.2776603121
88	0.27575288	0.279766863
89	0.2778082183
90	0.291	0.270491	0.2792	0.2685940482
93	0.2667937134
94	0.264890035
95	0.2632533854
96	0.2616885792
97	0.260297	0.2698	0.2579022032
99	0.2566564733
100	0.25100	0.2590445027
101	0.257102	0.25102	0.2563014175
103	0.2544143561
104	0.2526574857
105	0.2509169145
106	0.2494493542
107	0.2483319658
108	0.2470539266
109	0.2462536783
110	0.2445497802
111	0.2428219535
112	0.2415034265
113	0.2404483159
114	0.2384345315
115	0.2368721239
116	0.2359684742
117	0.2348404653
118	0.2337702549
119	0.232988213
120	0.2318848697
121	0.2303619529
122	0.2290416053
123	0.2279356321
124	0.2264505011
125	0.126	0.22025126	0.127	0.21926127	0.2221797018
128	0.129	0.21648129	0.130	0.21528130	0.131	0.2137587721
132	0.21254132	0.133	0.21142133	0.134	0.210295446
135	0.2093448061
136	0.2086320935
137	0.2068432317
138	0.20536875
139	0.2047553496
140	0.2039860812
141	0.202798092
142	0.2023248961
143	0.201134884
144	0.2003914804
145	0.1994066961
146	0.1982084621
147	0.1969570102
148	0.1960241144
149	0.1951954004
150	0.1946086884
151	0.1938851819
152	0.193084659
153	0.1922368281
154	0.1912302537
155	0.1903190179
156	0.1892534314
157	0.1884218129
158	0.1875918128
159	0.1864285036
160	0.1858846636
161	0.1849268855
162	0.1842560335
163	0.1834445144
164	0.1827347206
165	0.1816220428
166	0.1807479858
167	0.1798485265
168	0.1788179224
169	0.1782822464
170	0.1772770882
171	0.1763306531
172	0.174952796
173	0.1745607058
174	0.1737781293
175	0.1732428291
176	0.1724644863
177	0.1719392719
178	0.1708090811
179	0.1699048245
180	0.1692401279
181	0.1685628602
182	0.1675139051
183	0.166922656
184	0.1660709959
185	0.1651477669
186	0.1643239368
187	0.1636674765
188	0.1630979885
189	0.1627148137
190	0.1623390371
191	0.1617929574
192	0.1609858022
193	0.1605518803
194	0.1598596284
195	0.1590667204
196	0.1585385583
197	0.1579716567
198	0.1574716423
199	0.1567245541
200	0.1558994235
201	0.1550364639
202	0.1542755907
203	0.1537955891
204	0.153166742
2204	0.1540619821
205	0.153206	0.15206	0.1529542605
207	0.1521733024
208	0.1515459003
209	0.151055625
210	0.1505878911
211	0.1502241655
212	0.1497030692
213	0.1491857297
214	0.1480969949
215	0.1473183921
216	0.146646384
217	0.146294984
218	0.1459034428
219	0.1449766448
220	0.144356482
221	0.1436258663
222	0.143101172
223	0.1425794255
224	0.142013651
225	0.1416172259
226	0.1409812407
227	0.1402150067
228	0.1397573731
229	0.1392787153
230	0.1384505792
231	0.1374155102
232	0.1366378755
233	0.136308251
234	0.1356029799
235	0.1352055868
236	0.1346404047
237	0.1341661829
238	0.1334383126
239	0.1329416506
240	0.13241241	0.1363073262
242	0.1357286627
243	0.1352183024
244	0.1345123089
245	0.1340130604
246	0.1334734252
247	0.1330557158
248	0.13258265
249	0.1321613138
250	0.1318451564
251	0.1312265974
252	0.130375313
253	0.129931999
254	0.1294873556
255	0.1289018573
256	0.128328988
257	0.1277245319
258	0.1274214658
259	0.1269909252
260	0.1265483625
261	0.1258882031
262	0.1253790855
263	0.1251341791
264	0.1243810943
265	0.1237550215
266	0.1234179988
267	0.1230909174
268	0.1224784418
269	0.1221498721
270	0.1219007897
271	0.1216551463
272	0.1212030613
273	0.1206737287
274	0.1204414223
275	0.1198884213
276	0.1195479523
277	0.1192562508
278	0.1188137748
279	0.1181586872
280	0.1177487735
281	0.1173432668
282	0.1170640281
283	0.1165442539
284	0.1163140427
285	0.1157912847
286	0.1153380076
287	0.1150944305
288	0.1146514488
289	0.1141434222
290	0.1139224732
291	0.1134782777
292	0.1128413966
293	0.1125002196
294	0.1120368712
295	0.1118657444
296	0.1115238089
297	0.1109282248
298	0.1105334325
299	0.1102204178
300	0.1097606601
301	0.1091542533
302	0.1088266228
303	0.1082526409
304	0.1076167714
305	0.107493928
306	0.1071256797
307	0.1068181847
308	0.1064586495
309	0.106031938
310	0.1058751525
311	0.1053896601
312	0.1047599099
313	0.1043320858
314	0.1041274721
315	0.1037593899
316	0.1033667218
317	0.1027944305
318	0.1024878531
319	0.1021482439
320	0.1018300923
321	0.1013781302
322	0.1007624828
323	0.1005651879
324	0.1002692743
