iter	Logloss
325	0.09979037083
326	0.09958189184
327	0.09941647992
328	0.09908279506
329	0.09837961197
330	0.09808283864
331	0.09745719216
332	0.09722792019
333	0.09692093098
334	0.0964802034
335	0.09613699624
336	0.09575070034
337	0.09548656868
338	0.09531651121
339	0.09496753866
340	0.09453878981
341	0.09413032821
342	0.09371526314
343	0.09340130199
344	0.09314164248
345	0.09269521453
346	0.09243660262
347	0.0922350739
348	0.09198265365
349	0.09177780151
350	0.09129100135
351	0.09089593454
352	0.09050323024
353	0.09010421146
354	0.08996041616
355	0.08972727169
356	0.08942673423
357	0.08898727822
358	0.08859705203
359	0.08826929873
360	0.08789014816
361	0.08778754148
362	0.08749016848
363	0.08728750547
364	0.08701292674
365	0.08667147521
366	0.08614216429
367	0.08590756041
368	0.08571574905
369	0.08540183125
370	0.08506841371
371	0.08478416096
372	0.08442794193
373	0.08406543732
374	0.08376472647
375	0.08343698762
376	0.08338402979
377	0.08304351749
378	0.08284378052
379	0.08244576599
380	0.08211157539
381	0.08187025244
382	0.08150627396
383	0.08125627402
384	0.08092401967
385	0.08067642559
386	0.0803538886
387	0.08016524893
388	0.08004957257
389	0.07964611053
390	0.07933870229
391	0.07913177664
392	0.07874637662
393	0.07858076963
394	0.07827429338
395	0.07804812807
396	0.07802047152
397	0.07787372849
398	0.07760474899
399	0.07732686129
400	0.07717843489
401	0.07693891814
402	0.07659983635
403	0.07621127909
404	0.07585432313
405	0.07556103938
406	0.075333458
407	0.07510201136
408	0.07495332487
409	0.0745437073
410	0.07430713827
411	0.07410858617
412	0.07365650119
413	0.07325493206
414	0.07302457636
415	0.07273371292
416	0.07231051994
417	0.07187913403
418	0.07186247363
419	0.07169707616
420	0.07148393718
421	0.07121047107
422	0.07104149732
423	0.07067419543
424	0.07044128938
425	0.07004814437
426	0.06977337057
427427	0.06609580734
428	0.06597246546
429	0.06558364430430	0.06532956431	431	0.06510613904
432	0.06483255733
433	0.06460946979
434	0.06427353079
435	0.06388628122
436	0.06375346762
437	0.06364714738
438	0.06339222735
439	0.06307178555
440	0.06279289361
441	0.06251027367
442	0.06214534153
443	0.06179274935
444	0.06159131455
445	0.06122960466
446	0.06108614893
447	0.0608587843
448	0.06075972499
449	0.06052516446
450	0.06030018402
451	0.06003891699
452	0.0598070766
453	0.05950922677
454	0.05927946351
455	0.05895158739
456	0.05874793457
457	0.05865528728
458	0.05840428309
459	0.05813358408
460	0.05792020668
461	0.05776067936
462	0.05753337253
463	0.05735920776
464	0.05718235536
465	0.05697158611
466	0.05664874568
467	0.05643273122
468	0.05619058465
469	0.05605829123
470	0.05577610117
471	0.05545931151
472	0.05524482872
473	0.0550257112
474	0.0548011209
475	0.0545937148
476	0.05436939182
477	0.05418768074
478	0.05397474405
479	0.05382025603
480	0.05360764446
481	0.05340391217
482	0.0530782071
483	0.0528617122
484	0.05264237072
485	0.05241965886
486	0.05233128866
487	0.05206216104
488	0.05195067146
489	0.05168346203
490	0.05150606054
491	0.0512387319
492	0.05101651134
493	0.05078874212
494	0.05062045473
495	0.05048523888
496	0.05026748686
497	0.05016609755
498	0.05004827904
499	0.04982139125
595
4492168716
