REAL,miRNA,premiRNA,rRNA,snRNA,snoRNA,tRNA,tmRNA,All
miRNA,120,60,1,3,21,6,0,211
premiRNA,56,131,2,2,6,5,1,203
rRNA,3,2,541,0,2,0,1,549
snRNA,4,2,1,62,19,2,1,91
snoRNA,17,9,6,9,92,3,7,143
tRNA,0,2,1,1,1,351,0,356
tmRNA,0,0,1,1,2,3,273,280
All,200,206,553,78,143,370,283,1833
