REAL,miRNA,premiRNA,rRNA,snRNA,snoRNA,tRNA,tmRNA,All
miRNA,42,78,3,9,24,52,3,211
premiRNA,34,106,4,4,10,43,2,203
rRNA,2,8,172,35,3,3,326,549
snRNA,3,6,10,33,22,4,13,91
snoRNA,15,12,10,29,41,26,10,143
tRNA,9,49,1,0,9,267,21,356
tmRNA,2,1,104,44,6,4,119,280
All,107,260,304,154,115,399,494,1833
