REAL,miRNA,premiRNA,rRNA,snRNA,snoRNA,tRNA,tmRNA,All
miRNA,114,56,0,2,22,17,0,211
premiRNA,57,122,1,1,7,15,0,203
rRNA,1,5,535,0,4,2,2,549
snRNA,6,0,1,58,21,1,4,91
snoRNA,18,5,15,7,84,9,5,143
tRNA,4,5,0,1,1,345,0,356
tmRNA,0,1,9,4,1,5,260,280
All,200,194,561,73,140,394,271,1833
